"id","name","year","study","design","outcome","es.calc","direction","n.1","m.1","sd.1","n.2","m.2","sd.2","count.1","count.2","fval","tval","r","pval","es","es.var"
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","mirror tracing","f","positive",10,NA,NA,10,NA,NA,NA,NA,1.67,NA,NA,NA,0.577927331071996,0.20835
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","angular deviation","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.25,NA,NA,NA,0.223606797749979,0.20125
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","linear deviation","f","positive",10,NA,NA,10,NA,NA,NA,NA,3.34,NA,NA,NA,0.817312669668102,0.2167
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","word recognition","t","negative",10,NA,NA,10,NA,NA,NA,NA,NA,0.5,NA,NA,-0.223606797749979,0.20125
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","reversible figure","f","positive",10,NA,NA,10,NA,NA,NA,NA,1.54,NA,NA,NA,0.554977477020464,0.2077
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","digit-symbol","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.05,NA,NA,NA,0.1,0.20025
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","tapping speed","f","negative",10,NA,NA,10,NA,NA,NA,NA,2.26,NA,NA,NA,-0.672309452558864,0.2113
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","tracing speed","f","positive",10,NA,NA,10,NA,NA,NA,NA,4.57,NA,NA,NA,0.95603347221737,0.22285
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","visual pursuit","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.22,NA,NA,NA,0.20976176963403,0.2011
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","size constancy","t","positive",10,NA,NA,10,NA,NA,NA,NA,NA,1.03,NA,NA,0.460630003364957,0.2053045
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","spiral aftereffect duration","f","positive",10,NA,NA,10,NA,NA,NA,NA,0.99,NA,NA,NA,0.44497190922574,0.20495
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","spiral aftereffect change","t","positive",10,NA,NA,10,NA,NA,NA,NA,NA,3.38,NA,NA,1.51158195278986,0.257122
1,"The contribution of nondeprivation factors in the production of sensory deprivation effects: The psychology of the ""panic button""",1964,1,"between","logical deductions","t","negative",10,NA,NA,10,NA,NA,NA,NA,NA,1.64,NA,NA,-0.733430296619931,0.213448
3,"Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory",2021,1,"between","demand vs. no demand ""new""","m_sd","positive",16,1.09,1,16,0.8,1,NA,NA,NA,NA,NA,NA,0.29,0.1263140625
3,"Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory",2021,1,"between","demand vs. free ""new""","m_sd","positive",16,1.09,1,16,0.98,1,NA,NA,NA,NA,NA,NA,0.11,0.1251890625
3,"Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory",2021,1,"between","demand vs. no demand ""old""","m_sd","positive",16,3.06,1,16,2.25,1,NA,NA,NA,NA,NA,NA,0.81,0.1352515625
3,"Discrete-state versus continuous models of the confidence-accuracy relationship in recognition memory",2021,1,"between","demand vs. free ""old""","m_sd","positive",16,3.06,1,16,2.09,1,NA,NA,NA,NA,NA,NA,0.97,0.1397015625
4,"Revisiting the Stanford prison experiment, again: Examining demand characteristics in the guard orientation",2019,1,"between","positive self-response","m_sd","positive",64,4.52,0.97,64,3.7,1.18,NA,NA,NA,NA,NA,NA,0.759177904532177,0.0335013714481635
4,"Revisiting the Stanford prison experiment, again: Examining demand characteristics in the guard orientation",2019,1,"between","negative self-response","m_sd","positive",64,3.73,1.46,64,2.86,1.23,NA,NA,NA,NA,NA,NA,0.644488649571529,0.0328725219508849
5,"Revisiting the Stanford prison experiment, again: Examining demand characteristics in the guard orientation",2019,2,"between","positive self-response","m_sd","positive",64,4.45,1.09,64,4.05,1.04,NA,NA,NA,NA,NA,NA,0.375483416070445,0.0318007335771247
5,"Revisiting the Stanford prison experiment, again: Examining demand characteristics in the guard orientation",2019,2,"between","negative self-response","m_sd","positive",64,3.74,1.28,64,2.99,1.28,NA,NA,NA,NA,NA,NA,0.5859375,0.0325911045074463
6,"Revisiting the Stanford prison experiment, again: Examining demand characteristics in the guard orientation",2019,3,"between","positive self-response","m_sd","positive",54,1.53,0.97,54,0.69,0.69,NA,NA,NA,NA,NA,NA,0.997951324187773,0.0416477168770747
7,"Hypothesis awareness as a demand characteristic in laboratory-based eating behaviour research: An experimental study",2019,1,"between","residual changes in cookie intake","t","positive",41,NA,NA,43,NA,NA,NA,NA,NA,0.4,NA,NA,0.0873119078760073,0.0476914350538854
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"between","differences in condition for lows in test phase","m_sd","positive",11.5,16.5,5.76498048565648,11.5,13.6,8.47791247890659,NA,NA,NA,NA,NA,NA,0.400028540509722,0.177391800722225
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"between","differences in condition for mediums in test phase","m_sd","positive",12,16.6,3.81051177665153,12,12.3,4.50333209967908,NA,NA,NA,NA,NA,NA,1.03084609819358,0.188805076628352
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"between","differences in condition for highs in test phase","m_sd","positive",10.5,24.2,11.6653332571341,10.5,11.8,9.3970740126914,NA,NA,NA,NA,NA,NA,1.1706842414775,0.223107180791518
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"within","differences in switches between the test and neutral block for lows in switch condition","m_sd","positive",11.5,16.5,5.76498048565648,11.5,15,4.40851448903142,NA,NA,NA,NA,NA,NA,0.287321527002279,0.0905458112990835
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"within","differences in switches between the test and neutral block for lows in maintain condition","m_sd","positive",11.5,13.6,8.47791247890659,11.5,15,4.40851448903142,NA,NA,NA,NA,NA,NA,0.190630634830176,0.0885365234319894
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"within","differences in switches between the test and neutral block for mediums in switch condition","m_sd","positive",12,16.6,3.81051177665153,12,14.2,3.81051177665153,NA,NA,NA,NA,NA,NA,0.629836657297774,0.0998622589531681
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"within","differences in switches between the test and neutral block for mediums in maintain condition","m_sd","positive",12,12.3,4.50333209967908,12,14.2,3.81051177665153,NA,NA,NA,NA,NA,NA,0.452380952380952,0.0918603552532124
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"within","differences in switches between the test and neutral block for highs in switch condition","m_sd","positive",10.5,24.2,11.6653332571341,10.5,21,7.12881476824865,NA,NA,NA,NA,NA,NA,0.314178785462394,0.0999384909159345
8,"Attention or instruction: Do sustained attentional abilities really differ between high and low hypnotisable persons?",2018,1,"within","differences in switches between the test and neutral block for highs in maintain condition","m_sd","positive",10.5,11.8,9.3970740126914,10.5,21,7.12881476824865,NA,NA,NA,NA,NA,NA,1.08321535899694,0.151112167331756
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported anxiety; information vs. no information in active cycling condition after cycling","m_sd","positive",15,32.13,4.42,15,33.87,5.78,NA,NA,NA,NA,NA,NA,0.338183636703486,0.135239469535567
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported anxiety; information vs. no information in active cycling condition after 20 minutes","m_sd","positive",15,33.33,8.18,15,34.87,7.75,NA,NA,NA,NA,NA,NA,0.193275488197014,0.133955923572297
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported anxiety; information vs. no information in passive cycling condition after cycling","m_sd","negative",15,35,7.91,15,33.73,8.22,NA,NA,NA,NA,NA,NA,-0.15744147783845,0.133746463649066
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported anxiety; information vs. no information in passive cycling condition after 20 minutes","m_sd","negative",15,33.47,8.28,15,33.4,11.69,NA,NA,NA,NA,NA,NA,-0.00691049275422926,0.133334129248502
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported vigor; information vs. no information in active cycling condition after cycling","m_sd","negative",15,6.07,2.87,15,6.87,3.75,NA,NA,NA,NA,NA,NA,-0.239584322423349,0.134290010792518
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported vigor; information vs. no information in active cycling condition after 20 minutes","m_sd","negative",15,3.47,2.1,15,4.27,3.75,NA,NA,NA,NA,NA,NA,-0.263234099415085,0.134488203184915
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported vigor; information vs. no information in passive cycling condition after cycling","m_sd","negative",15,3.87,3.11,15,5.47,3.48,NA,NA,NA,NA,NA,NA,-0.484820660769678,0.137250851218486
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported vigor; information vs. no information in passive cycling condition after 20 minutes","m_sd","negative",15,4,3.32,15,4.87,3.27,NA,NA,NA,NA,NA,NA,-0.264028819329546,0.134495186957276
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported motivation; information vs. no information in active cycling condition after cycling","m_sd","positive",15,62.47,18.95,15,51.6,25.66,NA,NA,NA,NA,NA,NA,0.481913621617604,0.137204012311677
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported motivation; information vs. no information in active cycling condition after 20 minutes","m_sd","positive",15,57.4,16.72,15,40.67,28.16,NA,NA,NA,NA,NA,NA,0.722442654902918,0.14203205649372
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported motivation; information vs. no information in passive cycling condition after cycling","m_sd","negative",15,62.8,23.06,15,62.87,27.83,NA,NA,NA,NA,NA,NA,-0.00273902594345378,0.133333458371052
10,"The Effect of Light-Intensity Cycling on Mood and Working Memory in Response to a Randomized, Placebo-Controlled Design",2017,1,"between","self-reported motivation; information vs. no information in passive cycling condition after 20 minutes","m_sd","positive",15,60.69,26.92,15,54.6,26.69,NA,NA,NA,NA,NA,NA,0.227194327696508,0.134193621042291
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,1,"between","post-manipulation self-reported discomfort among participants who chose a placebo vs. were controls","m_sd","positive",26,3.85,1.55,26,4.54,1.66,NA,NA,NA,NA,NA,NA,0.429654346703696,0.0786981044003979
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,1,"between","post-manipulation self-reported discomfort among participants who were assigned a placebo vs. were controls","m_sd","positive",26,3.9,1.35,26,4.54,1.66,NA,NA,NA,NA,NA,NA,0.423011655985486,0.0786436428951883
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,1,"within","pre vs. post differencesself-reported discomfort among participants who chose a placebo","m_sd","positive",26,3.85,1.55,26,4.68,1.24,NA,NA,NA,NA,NA,NA,0.584260802889915,0.0450261670344917
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,1,"within","pre vs. post differencesself-reported discomfort among participants who were assigned a placebo","m_sd","positive",26,3.9,1.35,26,3.99,1.6,NA,NA,NA,NA,NA,NA,0.0603700623814986,0.0385316258544605
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,2,"between","post-manipulation self-reported discomfort among participants who chose a placebo vs. chose a non-placebo","m_sd","negative",20,4,1.75,20,3.91,1.57,NA,NA,NA,NA,NA,NA,-0.0541373583200347,0.100036635669573
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,2,"between","post-manipulation self-reported discomfort among participants who were assigned a placebo vs. assigned a non-placebo","m_sd","positive",20,4.06,1.46,20,4.31,1.71,NA,NA,NA,NA,NA,NA,0.157240479231772,0.100309057103863
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,2,"within","pre vs. post differencesself-reported discomfort among participants who chose a placebo","m_sd","positive",20,4,1.75,20,4.42,1.7,NA,NA,NA,NA,NA,NA,0.243401586875893,0.0514811083123426
11,"Choice-making, Expectations, and Treatment Positivity: How and When Choosing Shapes Aversive Experiences",2014,2,"within","pre vs. post differencesself-reported discomfort among participants who were assigned a placebo","m_sd","negative",20,4.06,1.46,20,3.96,1.62,NA,NA,NA,NA,NA,NA,-0.0646737995740686,0.0501045675087837
12,"The social psychology of perception experiments: Hills, backpacks, glucose and the problem of generalizability",2012,1,"between","Verbal estimates of steepness between normal backpack and ignored backpack condition","f","positive",16,NA,NA,21,NA,NA,NA,NA,1,NA,NA,NA,0.331841901542056,0.111607142857143
12,"The social psychology of perception experiments: Hills, backpacks, glucose and the problem of generalizability",2012,1,"between","Manual estimates of steepness between normal backpack and ignored backpack condition","f","positive",16,NA,NA,21,NA,NA,NA,NA,4.9,NA,NA,NA,0.734563362367967,0.117410714285714
13,"A follow-up analogue study on the effectiveness of the cognitive rationale",2007,1,"between","ABC-high vs. ACB-high post ATF scores","m_sd","positive",35,44.77,12.41,38,27.21,12.66,NA,NA,NA,NA,NA,NA,1.40021808821113,0.0683160584187677
13,"A follow-up analogue study on the effectiveness of the cognitive rationale",2007,1,"between","ABC-high vs. ACB-high follow-up ATF scores","m_sd","positive",35,46.14,10.43,38,31.53,13.28,NA,NA,NA,NA,NA,NA,1.21750313188317,0.0650400528132315
13,"A follow-up analogue study on the effectiveness of the cognitive rationale",2007,1,"within","ABC-high pre vs. post ATF scores","m_sd","positive",35,44.77,12.41,35,32.71,9.53,NA,NA,NA,NA,NA,NA,1.07200338806544,0.0449884466289113
13,"A follow-up analogue study on the effectiveness of the cognitive rationale",2007,1,"within","ACB-high pre vs. post ATF scores","m_sd","positive",38,27.21,12.66,38,32.95,8.93,NA,NA,NA,NA,NA,NA,0.509409425562265,0.0297302363533115
13,"A follow-up analogue study on the effectiveness of the cognitive rationale",2007,1,"between","ABC-high vs. ACB-high change ATF scores","m_sd","positive",35,12.06,16.5,38,-5.74,11,NA,NA,NA,NA,NA,NA,1.27984849105142,0.066106479415295
13,"A follow-up analogue study on the effectiveness of the cognitive rationale",2007,1,"between","ABC vs. ACB DRQ scores","m_sd","positive",65,1.75,0.78,65,1.27,0.7,NA,NA,NA,NA,NA,NA,0.647703096180005,0.0323827665415429
14,"Effect of the destructive disagreement belief on relationship satisfaction with a romantic partner or closest friend",2004,1,"between","post-intervention scores for irrational vs. irrational counter demand","m_sd","negative",32,3.33,1.01,34,3.2,0.85,NA,NA,NA,NA,NA,NA,-0.139643743172445,0.0608094948195734
14,"Effect of the destructive disagreement belief on relationship satisfaction with a romantic partner or closest friend",2004,1,"between","post-intervention scores for rational vs. rational counter demand","m_sd","positive",30,3.83,0.78,34,3.9,0.74,NA,NA,NA,NA,NA,NA,0.0922299993473223,0.0628115540765564
15,"Experimental and psychotherapeutic demand characteristics and the cognitive therapy rationale: An analogue study",2004,1,"within","difference in pre vs. post scores for the ABC condition","m_sd","positive",98,0.58,0.12,98,0.71,0.16,NA,NA,NA,NA,NA,NA,0.901387818865997,0.0143494897959184
15,"Experimental and psychotherapeutic demand characteristics and the cognitive therapy rationale: An analogue study",2004,1,"within","difference in pre vs. post scores for the ACB condition","m_sd","positive",100,0.55,0.11,100,0.45,0.17,NA,NA,NA,NA,NA,NA,0.669649530182425,0.0122421524663677
15,"Experimental and psychotherapeutic demand characteristics and the cognitive therapy rationale: An analogue study",2004,1,"between","difference in post scores between the ABC and ACB","m_sd","positive",98,0.71,0.16,100,0.45,0.17,NA,NA,NA,NA,NA,NA,1.57454823381133,0.0264646930988106
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,1,"between","self-reported happiness for happy pose; positive demand vs. control","m_sd","positive",86,1.59,1.34,77,1.25,1.28,NA,NA,NA,NA,NA,NA,0.259142593720191,0.0248209165400763
16,"Fact or Artifact? Demand Characteristics and Participants’ Beliefs Can Moderate, but Do Not Fully Account for, the Effects of Facial Feedback on Emotional Experience",2022,1,"between","self-reported happiness for happy pose; positive demand vs. negative demand","m_sd","positive",86,1.59,1.34,87,0.64,0.87,NA,NA,NA,NA,NA,NA,0.841924399994427,0.0251708208193998
